Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Andira legalis,species,Angiosperm,tree,broadleaved,,,17,6,,,,,,,,,,,,,1
Andira macrothyrsa,species,Angiosperm,tree,broadleaved,1386.37,4,17.729,11,71.812,11,40,10,,,0.678,9,,,,0.678,5
Andira micrantha,species,Angiosperm,tree,broadleaved,,,16.449,3,,,,,,,1,2,,,,1,2
Andira multistipula,species,Angiosperm,tree,broadleaved,1813.56,4,28.51,2,38.86,2,15,1,,,,,,,,,4
Andira parviflora,species,Angiosperm,tree,broadleaved,,,19.599,3,,,,,,,0.705,10,,,,0.705,2
Andira surinamensis,species,Angiosperm,tree,broadleaved,,,,,67.593,2,11,2,,,0.706,17,,,,0.706,3
Andira unifoliolata,species,Angiosperm,tree,broadleaved,,,18,1,,,,,,,0.76,2,,,,0.76,2
Androstachys johnsonii,species,Angiosperm,tree,broadleaved,,,,,,,20,2,61.08,6,0.576,6,,,,0.576,3
Angophora bakeri,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.58,2,,,,0.58,1
Angophora costata,species,Angiosperm,tree,broadleaved,815.42,4,,,189.036,6,17.321,12,15.832,25,0.779,6,,,,0.779,5
Angophora euryphylla,species,Angiosperm,tree,broadleaved,,,,,,,,,13.58,6,,,,,,,1
Angophora floribunda,species,Angiosperm,tree,broadleaved,1539.28,4,,,106.642,9,10.954,10,15.403,21,0.719,6,,,,0.719,5
Angophora leiocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,12.47,6,,,,,,,1
Angophora subvelutina,species,Angiosperm,tree,broadleaved,,,,,,,,,7.26,6,0.75,2,,,,0.75,2
Angophora woodsiana,species,Angiosperm,tree,broadleaved,,,,,,,,,32.547,11,0.759,4,,,,0.759,2
Aniba burchellii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.52,2,,,,0.52,1
Aniba canellila,species,Angiosperm,tree,broadleaved,7047.6,3,22.451,2,,,30,1,,,0.944,21,,,,0.944,4
Aniba cylindriflora,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.663,4,,,,0.663,2
Aniba excelsa,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.55,2,,,,0.55,2
Aniba ferrea,species,Angiosperm,tree,broadleaved,9500,1,14,1,,,,,,,,,,,,,2
Aniba firmula,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.56,2,,,,0.56,1
Aniba guianensis,species,Angiosperm,tree,broadleaved,4894.36,29,19.14,5,78.431,29,22.361,10,,,0.5,11,,,,0.5,5
Aniba hostmanniana,species,Angiosperm,tree,broadleaved,31192.61,9,20.446,2,100.426,6,20,5,,,0.588,11,,,,0.588,5
Aniba hypoglauca,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.535,2,,,,0.535,1
Aniba kappleri,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,,,,,,,1
Aniba panurensis,species,Angiosperm,tree,broadleaved,3801.21,11,21.754,2,89.909,8,10,9,,,0.584,15,,,,0.584,5
Aniba parviflora,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.54,2,,,,0.54,1
Aniba perutilis,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.5,2,,,,0.5,2
Aniba puchury-minor,species,Angiosperm,tree,broadleaved,7047.6,3,,,,,20,1,,,0.547,6,,,,0.547,3
Aniba riparia,species,Angiosperm,tree,broadleaved,7528.7,5,28.593,2,55.638,2,16,1,,,0.585,5,,,,0.585,5
Aniba rosaeodora,species,Angiosperm,tree,broadleaved,29000,1,,,,,,,,,0.72,14,,,,0.72,2
Aniba taubertiana,species,Angiosperm,tree,broadleaved,9074.33,5,19.75,5,110.865,5,18.708,4,,,0.59,3,,,,0.59,5
Aniba terminalis,species,Angiosperm,tree,broadleaved,7047.6,7,18.093,8,65.531,7,20,8,,,0.516,10,,,,0.516,5
Aniba williamsii,species,Angiosperm,tree,broadleaved,7135,2,25.92,2,130.608,2,22,2,,,0.626,6,,,,0.626,5
Anisophyllea apetala,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.767,4,,,,0.767,1
Anisophyllea beccariana,species,Angiosperm,tree,broadleaved,75,1,,,,,20,1,,,0.67,2,,,,0.67,3
Anisophyllea boehmii,species,Angiosperm,tree,broadleaved,,,,,,,10,2,,,,,,,,,1
Anisophyllea disticha,species,Angiosperm,tree,broadleaved,170.48,9,,,,,21.646,9,330,7,0.695,4,,,,0.695,4
Anisophyllea guianensis,species,Angiosperm,tree,broadleaved,9050,1,,,,,12,1,,,,,,,,,2
Anisophyllea manausensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.86,2,,,,0.86,1
Anisophyllea obtusifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.66,2,,,,0.66,1
Anisoptera aurea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.555,4,,,,0.555,1
Anisoptera costata,species,Angiosperm,tree,broadleaved,3019,1,,,,,10,1,674.612,8,0.575,6,,,,0.575,4
Anisoptera curtisii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.614,4,,,,0.614,1
Anisoptera grossivenia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.585,4,,,,0.585,1
Anisoptera laevis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.517,8,,,,0.517,1
Anisoptera marginata,species,Angiosperm,tree,broadleaved,,,,,,,,,550,7,0.53,8,,,,0.53,2
Anisoptera megistocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,2516.986,8,0.573,6,,,,0.573,2
Anisoptera scaphula,species,Angiosperm,tree,broadleaved,,,,,,,,,1250,,0.483,4,,,,0.483,2
Anisoptera thurifera,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.557,24,,,,0.557,1
Anisoptera thurifera subsp. polyandra,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,,,0.55,2,,,,0.55,1
Anneslea fragrans var. crassipes,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,,,0.67,2,,,,0.67,1
Annickia chlorantha,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.431,14,,,,0.431,1
Annickia polycarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.475,4,,,,0.475,1
Annona acuminata,species,Angiosperm,tree,broadleaved,1716.39,19,22.19,2,56.24,37,4.5,2,37.074,4,0.65,2,,,,0.65,6
Annona ambotay,species,Angiosperm,tree,broadleaved,28902.68,3,20.158,2,45.607,2,15,1,,,,,,,,,4
Annona coriacea,species,Angiosperm,tree,broadleaved,,,26.598,3,149.031,4,,,,,,,,,,,2
Annona crassiflora,species,Angiosperm,tree,broadleaved,,,,,,,3.984,10,,,0.56,2,,,,0.56,2
Annona duckei,species,Angiosperm,tree,broadleaved,6583.42,5,27.146,2,39.355,2,15,1,,,,,,,,,4
Annona foetida,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.57,2,,,,0.57,2
Annona glabra,species,Angiosperm,tree,broadleaved,3805.93,1,,,92.162,6,9.14,4,207.749,5,0.5,5,,,,0.5,5
Annona hayesii,species,Angiosperm,tree,broadleaved,6781.65,,,,,,8.79,1,48.044,4,0.495,2,,,,0.495,4
Annona hypoglauca,species,Angiosperm,tree,broadleaved,4149.24,4,,,,,10,1,444,3,0.379,4,,,,0.379,4
Annona jahnii,species,Angiosperm,tree,broadleaved,,,,,,,,,31.13,3,,,,,,,1
Annona montana,species,Angiosperm,tree,broadleaved,6389.22,5,,,51.708,1,10,1,,,,,,,,,3
Annona muricata,species,Angiosperm,tree,broadleaved,9050,2,,,,,6.09,3,391.336,4,0.378,7,,,,0.378,4
Annona neglecta,species,Angiosperm,tree,broadleaved,,,,,,,,,91.65,7,,,,,,,1
Annona purpurea,species,Angiosperm,tree,broadleaved,,,28.185,1,61.181,1,,,897,3,0.65,3,,,,0.65,4
Annona reticulata,species,Angiosperm,tree,broadleaved,,,35.044,1,74.529,1,6.09,2,239.2,2,0.55,3,,,,0.55,5
Annona spraguei,species,Angiosperm,tree,broadleaved,20779.04,23,23.653,4,49.494,56,20.02,2,38.155,9,0.514,7,,,,0.514,6
Annona squamosa,species,Angiosperm,tree,broadleaved,,,26.96,8,54.915,8,6.09,3,289.77,8,0.609,6,,,,0.609,5
Annona tenuiflora,species,Angiosperm,tree,,9500,1,,,,,,,,,,,,,,,1
Anodopetalum biglandulosum,species,Angiosperm,tree,broadleaved,675,1,,,83.538,4,22,1,,,0.6,2,,,,0.6,4
Anogeissus acuminata,species,Angiosperm,tree,broadleaved,675,,,,,,13.5,1,25.84,7,0.762,6,,,,0.762,4
Anogeissus dhofarica,species,Angiosperm,tree,broadleaved,,,,,,,,,7.91,6,,,,,,,1
Anogeissus latifolia,species,Angiosperm,tree,broadleaved,,,14.4,7,145.56,8,,,,,0.78,4,,,,0.78,3
Anogeissus leiocarpa,species,Angiosperm,tree,broadleaved,738,2,19.857,,67.981,,3.674,2,6.586,8,0.8,2,,,,0.8,6
Anogeissus pendula,species,Angiosperm,tree,broadleaved,,,,,,,,,10.51,8,0.94,2,,,,0.94,2
Anogeissus phillyreifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.75,2,,,,0.75,1
Anogeissus sericea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.74,2,,,,0.74,1
Anonidium mannii,species,Angiosperm,tree,broadleaved,35673.5,,,,,,,,,,0.285,4,,,,0.285,2
Anopyxis klaineana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.793,22,,,,0.793,1
Anthocarpa nitidula,species,Angiosperm,tree,broadleaved,,,,,93.457,2,,,,,0.68,2,,,,0.68,2
Anthocephalus chinensis,species,Angiosperm,tree,broadleaved,25739,1,,,,,12.586,3,,,,,,,,,2
Anthocleista djalonensis,species,Angiosperm,tree,broadleaved,,,,,,,,,1.71,6,,,,,,,1
Anthocleista grandiflora,species,Angiosperm,tree,broadleaved,,,,,,,13.229,2,2.5,7,0.572,4,,,,0.572,3
Anthocleista longifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,2.5,6,,,,,,,1
Anthocleista nobilis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.496,6,,,,0.496,1
Anthocleista schweinfurthii,species,Angiosperm,tree,broadleaved,,,,,,,7.746,4,,,,,,,,,1
Anthocleista vogelii,species,Angiosperm,tree,broadleaved,,,,,,,10.954,2,,,,,,,,,1
Anthodiscus amazonicus,species,Angiosperm,tree,broadleaved,,,18.576,2,36.748,2,,,,,0.715,4,,,,0.715,3
Anthodiscus klugii,species,Angiosperm,tree,broadleaved,4513.59,2,18.68,3,85.106,3,20,4,,,0.64,3,,,,0.64,5
Anthodiscus peruanus,species,Angiosperm,tree,broadleaved,1487.44,2,,,,,30,1,,,0.665,2,,,,0.665,3
Anthodiscus pilosus,species,Angiosperm,tree,broadleaved,1813.56,2,,,,,35,1,,,0.69,2,,,,0.69,3
Anthonotha fragrans,species,Angiosperm,tree,broadleaved,,,18.25,4,,,,,,,0.505,4,,,,0.505,2
Anthonotha graciliflora,species,Angiosperm,tree,broadleaved,,,24.956,3,,,,,,,,,,,,,1
Antiaris toxicaria,species,Angiosperm,tree,broadleaved,9050,1,,,,,48.99,4,667,7,0.376,38,,,,0.376,4
Antiaris toxicaria var. africana,variety or subspecies,Angiosperm,tree,broadleaved,9683.01,3,23.893,3,100.674,3,,,571.43,7,,,,,,,4
Antiaris toxicaria var. usambarensis,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,833.33,7,,,,,,,1
Antidesma celebicum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.59,2,,,,0.59,1
Antidesma coriaceum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.72,2,,,,0.72,1
Antidesma cuspidatum,species,Angiosperm,tree,broadleaved,,,,,,,,,17,3,0.8,2,,,,0.8,2
Antidesma erostre,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.73,2,,,,0.73,1
Antidesma ghaesembilla,species,Angiosperm,tree,broadleaved,675,,,,,,,,36,4,0.605,4,,,,0.605,3
Antidesma platyphyllum,species,Angiosperm,tree,broadleaved,9234.75,,16.7,2,72.44,2,5.5,,208.667,,,,,,,,5
Antidesma pleuricum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.62,2,,,,0.62,1
Antidesma stipulare,species,Angiosperm,tree,broadleaved,4353.03,3,,,,,20.507,3,,,,,,,,,2
Antidesma tetrandrum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.6,2,,,,0.6,1
Antirhea myrtoides,species,Angiosperm,tree,broadleaved,3019,1,,,,,20,1,,,,,,,,,2
Antrocaryon amazonicum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.45,2,,,,0.45,1
Antrocaryon klaineanum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.524,10,,,,0.524,1
Antrocaryon micraster,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.481,12,,,,0.481,1
Antrocaryon nannanii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.48,4,,,,0.48,1
Aoranthe cladantha,species,Angiosperm,tree,broadleaved,25739,1,,,,,20,1,,,0.8,4,,,,0.8,3
Aparisthmium cordatum,species,Angiosperm,tree,broadleaved,9074.33,5,31.863,10,31.693,2,16,1,,,0.385,3,,,,0.385,5
Apeiba albiflora,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.232,10,,,,0.232,2
Apeiba glabra,species,Angiosperm,tree,broadleaved,5539.62,16,21.733,14,82.339,16,27.98,16,16.1,1,0.319,18,,,,0.319,6
Apeiba intermedia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.26,2,,,,0.26,1
Apeiba membranacea,species,Angiosperm,tree,broadleaved,8928.58,26,23.147,7,69.379,68,28.37,1,16.456,31,0.299,3,,,,0.299,6
Apeiba petoumo,species,Angiosperm,tree,broadleaved,9287.69,9,19.672,8,71.753,8,25.014,8,160.947,16,0.352,8,,,,0.31,6
Apeiba schomburgkii,species,Angiosperm,tree,broadleaved,,,25.6,1,,,,,,,,,,,,,1
Apeiba tibourbou,species,Angiosperm,tree,broadleaved,16660.02,28,26.103,7,59.499,46,23.432,4,8.465,14,0.23,6,,,,0.23,6
Aphanamixis humilis,species,Angiosperm,tree,broadleaved,6276.54,3,,,,,22.374,3,,,,,,,,,2
Aphanamixis polystachya,species,Angiosperm,tree,broadleaved,2471.59,2,17.8,1,,,17.775,3,,,0.57,20,,,,0.57,4
Aphananthe cuspidata,species,Angiosperm,tree,broadleaved,,,,,,,25,1,,,0.69,2,,,,0.69,2
Aphananthe monoica,species,Angiosperm,tree,broadleaved,,,,,,,35,1,,,,,,,,,1
Aphananthe philippinensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.571,6,,,,0.571,1
Aphanocalyx heitzii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.363,32,,,,0.363,1
Aphloia theiformis,species,Angiosperm,tree,broadleaved,33.63,20,,,88.155,10,14,2,5.71,5,0.616,4,,,,0.616,5
Apodocephala pauciflora,species,Angiosperm,tree,broadleaved,83.33,20,,,81.093,10,,,,,0.52,2,,,,0.52,3
Apodytes brachystylis,species,Angiosperm,tree,broadleaved,3019,3,,,,,21.994,3,142.127,16,0.56,2,,,,0.56,4
Apodytes dimidiata,species,Angiosperm,tree,broadleaved,942.02,4,21.115,4,153.784,8,8.66,3,104.4,6,0.605,4,,,,0.605,6
Apollonias barbujana,species,Angiosperm,tree,broadleaved,2487,2,12.72,2,141.643,5,30,4,,,0.54,,,,,0.54,5
Aporosa arborea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.47,2,,,,0.47,1
Aporosa confusa,species,Angiosperm,tree,broadleaved,,,,,,,,,250,3,,,,,,,1
Aporosa elmeri,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.6,2,,,,0.6,1
Aporosa falcifera,species,Angiosperm,tree,broadleaved,,,,,62.5,1,,,,,0.56,2,,,,0.56,2
Aporosa frutescens,species,Angiosperm,tree,broadleaved,3019,1,,,,,30,1,53,3,,,,,,,3
Aporosa globifera,species,Angiosperm,tree,broadleaved,,,,,45.935,1,,,,,,,,,,,1
Aporosa grandistipula,species,Angiosperm,tree,broadleaved,14250.93,4,12.45,1,51.68,1,26.645,4,,,0.21,1,,,,0.21,5
Aporosa lagenocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.53,2,,,,0.53,1
Aporosa lunata,species,Angiosperm,tree,broadleaved,,,,,122.399,4,29.9,2,,,0.682,4,,,,0.682,3
Aporosa maingayi,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.59,2,,,,0.59,1
Aporosa microstachya,species,Angiosperm,tree,broadleaved,,,,,45.704,4,8.4,2,,,0.67,2,,,,0.67,3
Aporosa nervosa,species,Angiosperm,tree,broadleaved,6255.12,10,,,,,22.152,10,,,,,,,,,2
Aporosa nigricans,species,Angiosperm,tree,broadleaved,,,,,72.516,1,,,,,,,,,,,1
Aporosa nitida,species,Angiosperm,tree,broadleaved,20287.01,1,13.73,1,106.27,1,,,,,,,,,,,3
Aporosa octandra,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.62,2,,,,0.62,1
Aporosa octandra var. chinensis,variety or subspecies,Angiosperm,tree,broadleaved,,,17.63,4,,,,,39,7,,,,,,,2
Aporosa octandra var. malesiana,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,,,0.67,2,,,,0.67,1
Aporosa planchoniana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.37,2,,,,0.37,1
Aporosa prainiana,species,Angiosperm,tree,broadleaved,,,,,67.431,1,,,,,0.63,4,,,,0.63,2
Aporosa sphaeridiophora,species,Angiosperm,tree,broadleaved,,,17.63,6,,,,,,,,,,,,,1
Aporosa stellifera,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.77,2,,,,0.77,1
Aporosa subcaudata,species,Angiosperm,tree,broadleaved,5609.56,8,15.85,1,78.046,1,26.257,7,,,,,,,,,4
Aporosa symplocoides,species,Angiosperm,tree,broadleaved,,,,,45.269,1,,,,,0.64,4,,,,0.64,2
Aporosa symplocoides var. chalarocarpa,variety or subspecies,Angiosperm,tree,broadleaved,5370.75,1,23.28,1,61.576,1,,,,,,,,,,,3
Aporosa yunnanensis,species,Angiosperm,tree,broadleaved,,,13.52,5,,,8,1,,,,,,,,,2
Aporrhiza paniculata,species,Angiosperm,tree,broadleaved,,,,,,,12,2,,,,,,,,,1
Aptandra tubicina,species,Angiosperm,tree,broadleaved,1592.32,5,40.314,2,51.943,2,20,1,,,0.764,4,,,,0.764,5
Apuleia ferrea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,1.08,2,,,,1.08,1
Apuleia leiocarpa,species,Angiosperm,tree,broadleaved,,,26.708,2,24.387,2,15,1,,,0.771,25,,,,0.771,4
Aquilaria agallocha,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.32,2,,,,0.32,1
Aquilaria malaccensis,species,Angiosperm,tree,broadleaved,4353.03,3,,,,,20.328,3,,,0.32,4,,,,0.32,3
Aquilaria sinensis,species,Angiosperm,tree,broadleaved,,,,,,,28,1,,,0.365,8,,,,0.365,2
Aralia chinensis,species,Angiosperm,tree,broadleaved,9500,2,28.178,4,59.081,2,5.743,6,1.3,6,,,,,,,5
Aralia elata,species,Angiosperm,tree,broadleaved,9500,2,33.542,5,22.083,2,5,13,0.75,7,,,,,,,5
Arapatiella psilophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.87,2,,,,0.87,1
Araucaria angustifolia,species,Gymnosperm,tree,broadleaved,,,15.078,10,,,38.068,18,7602.103,10,0.578,20,,,,0.578,4
Araucaria araucana,species,Gymnosperm,tree,broadleaved,330,,5.8,3,318.471,5,50,15,4203.965,5,0.556,8,,,,0.556,6
Araucaria bidwillii,species,Gymnosperm,tree,broadleaved,,,,,,,,,7171.287,8,0.412,8,,,,0.412,2
Araucaria columnaris,species,Gymnosperm,tree,broadleaved,12,,8.4,2,531.915,2,55,1,690.483,11,,,,,,,5
Araucaria cunninghamii,species,Gymnosperm,tree,broadleaved,7,1,20.222,,,,28.983,2,265.042,10,0.446,12,,,,0.446,5
Araucaria heterophylla,species,Gymnosperm,tree,broadleaved,,,,,,,32.662,8,1412.73,10,,,,,,,2
Araucaria hunsteinii,species,Gymnosperm,tree,broadleaved,,,,,,,55,2,548.307,3,0.38,5,,,,0.38,3
Araucaria laubenfelsii,species,Gymnosperm,tree,,,,,,,,68.8,1,,,0.8,1,,,,0.8,2
Araucaria luxurians,species,Gymnosperm,tree,broadleaved,,,,,,,,,570,1,,,,,,,1
Araucaria montana,species,Gymnosperm,tree,broadleaved,,,,,,,,,370,1,,,,,,,1
Araucaria nemorosa,species,Gymnosperm,tree,broadleaved,,,,,,,,,520,1,,,,,,,1
Araucaria rulei,species,Gymnosperm,tree,broadleaved,,,,,,,,,300,1,,,,,,,1
Araucaria scopulorum,species,Gymnosperm,tree,broadleaved,,,,,,,,,320,1,,,,,,,1
Arbutus andrachnoides,species,Angiosperm,tree,broadleaved,,,,,,,4,4,,,,,,,,,1
Arbutus arizonica,species,Angiosperm,tree,broadleaved,,,,,,,10.726,7,226.44,1,,,,,,,2
Arbutus canariensis,species,Angiosperm,tree,broadleaved,8270,2,12.39,2,143.472,5,8,2,,,,,,,,,4
Arbutus menziesii,species,Angiosperm,tree,broadleaved,4276.55,8,11.529,14,152.678,43,19.718,25,92.649,25,0.563,7,,,,0.563,6
Arbutus unedo,species,Angiosperm,tree,broadleaved,1507.07,68,13.47,217,121.244,140,4.479,46,2.643,28,0.781,132,,,,0.781,6
Arbutus xalapensis,species,Angiosperm,tree,broadleaved,,,,,,,9.962,2,145.65,5,,,,,,,2
Archboldiodendron calosericeum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.68,2,,,,0.68,1
Archidendron bubalinum,species,Angiosperm,tree,broadleaved,675,1,,,,,6,1,,,0.38,2,,,,0.38,3
Archidendron clypearia,species,Angiosperm,tree,broadleaved,411.43,1,24.85,1,75.586,1,10,,157,8,0.32,6,,,,0.32,6
Archidendron ellipticum,species,Angiosperm,tree,broadleaved,8173.52,4,30.65,1,92.081,1,18.871,3,,,0.44,2,,,,0.44,5
Archidendron grandiflorum,species,Angiosperm,tree,broadleaved,1112.13,3,,,,,24.101,3,,,0.53,6,,,,0.53,3
Archidendron havilandii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.33,2,,,,0.33,1
Archidendron hendersonii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.52,2,,,,0.52,1
Archidendron jiringa,species,Angiosperm,tree,broadleaved,2572.49,5,,,,,10.069,5,,,0.31,2,,,,0.31,3
Archidendron lucyi,species,Angiosperm,tree,broadleaved,,,,,,,,,480,11,,,,,,,1
Archidendron microcarpum,species,Angiosperm,tree,broadleaved,1880.38,1,22.48,1,66.269,1,,,,,,,,,,,3
Archidendron vaillantii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.37,2,,,,0.37,1
Archidendropsis basaltica,species,Angiosperm,tree,broadleaved,,,,,,,,,63.23,6,1.013,6,,,,1.013,2
Archidendropsis thozetiana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.82,4,,,,0.82,1
Archidendropsis xanthoxylon,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.52,4,,,,0.52,1
Archirhodomyrtus beckleri,species,Angiosperm,tree,broadleaved,748,4,,,79.974,6,6.633,4,1.49,6,,,,,,,4
Archontophoenix alexandrae,species,Angiosperm,tree,broadleaved,,,,,,,20,1,,,0.82,2,,,,0.82,2
Archontophoenix cunninghamiana,species,Angiosperm,tree,broadleaved,8777.43,4,,,86.194,6,6.708,4,,,0.82,2,,,,0.82,4
Ardisia ambigua,species,Angiosperm,tree,broadleaved,6630.37,3,13,,60.479,7,11.84,1,76.66,10,0.499,3,,,,0.499,6
Ardisia auriculata,species,Angiosperm,tree,broadleaved,37545.6,2,,,51.457,1,,,,,,,,,,,2
Ardisia barnesii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.77,2,,,,0.77,1
Ardisia costaricensis,species,Angiosperm,tree,broadleaved,,,8.7,1,,,,,,,,,,,,,1
Ardisia densilepidotula,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.622,8,,,,0.622,1
Ardisia elliptica,species,Angiosperm,tree,broadleaved,,,16.2,3,108.578,3,,,,,,,,,,,2
Ardisia escallonioides,species,Angiosperm,tree,broadleaved,,,,,,,7.498,1,,,,,,,,,1
Ardisia fimbrillifera,species,Angiosperm,tree,broadleaved,13389.1,4,18.84,1,71.48,2,,,,,0.57,1,,,,0.57,4
Ardisia glauciflora,species,Angiosperm,tree,broadleaved,,,5.3,1,,,,,,,,,,,,,1
Ardisia javanica,species,Angiosperm,tree,broadleaved,675,2,,,,,12.247,2,,,,,,,,,2
Ardisia macrophylla,species,Angiosperm,tree,broadleaved,12207.57,1,16.68,1,124.533,1,,,,,0.51,2,,,,0.51,4
Ardisia nigropunctata,species,Angiosperm,tree,broadleaved,22949,2,,,48.717,1,,,,,,,,,,,2
Ardisia nigrovirens,species,Angiosperm,tree,broadleaved,,,,,,,,,60.81,10,,,,,,,1
Ardisia palmana,species,Angiosperm,tree,,,,,,,,5,1,,,,,,,,,1
Ardisia purpurea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.44,2,,,,0.44,1
Ardisia revoluta,species,Angiosperm,tree,broadleaved,3019,1,14.485,1,138.885,1,4,1,53.99,10,0.692,1,,,,0.692,6
Ardisia standleyana,species,Angiosperm,tree,broadleaved,9166.44,31,14.567,1,70.887,59,8.424,2,38.35,1,,,,,,,5
Ardisia sumatrana,species,Angiosperm,tree,broadleaved,12822.21,3,,,,,21.544,3,,,,,,,,,2
Areca catechu,species,Angiosperm,tree,broadleaved,25739,,,,,,18,1,20800,5,,,,,,,3
Arenga pinnata,species,Angiosperm,tree,broadleaved,15650.66,4,,,,,3.31,4,4146.97,4,,,,,,,3
Arenga wightii,species,Angiosperm,tree,broadleaved,,,,,,,,,3571,5,,,,,,,1
Argania spinosa,species,Angiosperm,tree,broadleaved,,,,,,,10,2,3940,5,,,,,,,2
Argyrodendron trifoliolatum,species,Angiosperm,tree,broadleaved,,,,,56.921,2,,,,,,,,,,,1
Aria sp,genus,Angiosperm,tree,broadleaved,9050,1,,,,,40,1,,,,,,,,,2
Arodes sp,genus,Angiosperm,tree,broadleaved,6944.32,10,,,,,16.855,10,,,,,,,,,2
Aromadendron sp,genus,Angiosperm,tree,broadleaved,9050,1,,,,,30,1,,,,,,,,,2
Arthrophyllum diversifolium,species,Angiosperm,tree,broadleaved,10312.01,3,,,84.89,4,25,1,51,7,0.365,4,,,,0.365,5
Artocarpus altilis,species,Angiosperm,tree,broadleaved,80944,,24.2,1,,,13.47,2,5898,7,0.365,12,,,,0.365,5
Artocarpus altissimus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Artocarpus anisophyllus,species,Angiosperm,tree,broadleaved,6578.94,3,13.24,4,125.97,5,21,1,,,0.605,4,,,,0.605,5
Artocarpus bracteatus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.39,2,,,,0.39,1
Artocarpus chama,species,Angiosperm,tree,broadleaved,15262.3,2,,,,,12.649,2,588.24,7,0.455,4,,,,0.455,4
